datetime,file_name,best_epoch,train_loss,val_loss,test_loss,test_mse,hidden_size,num_layers
20251031_154743,avg_포인트1_통합_8_10(정제)_기상병합,59,0.005578098624634246,0.00014110966003499925,0.08657259494066238,,64,2
20251031_154950,avg_포인트1_통합_6_8_10_기상병합,115,0.00036953719063603785,0.0012219888158142567,0.0043926234357059,,64,2
20251031_155015,avg_포인트2_통합_6_8_10_기상병합,17,0.0004656965465983376,0.0030270670540630817,0.01476838905364275,,64,2
20251031_155036,avg_포인트3_통합_6_8_10_기상병합,66,0.007527567526267376,0.0020985675510019064,0.009796086698770523,,64,2
20251031_155047,avg_포인트4_통합_6_8_10_기상병합,115,0.0011201854892230283,0.001041602692566812,0.06863142549991608,,64,2
20251031_155100,avg_포인트5_통합_6_8_10_기상병합,2,0.24777355242986232,0.0011921480763703585,0.010074431076645851,,64,2
20251031_170245,avg_포인트1_통합_8_10(정제)_기상병합,79,0.0005297142779454589,0.0016692671924829483,0.0813373252749443,,64,1
20251031_170515,avg_포인트1_통합_6_8_10_기상병합,1,0.13066191202960908,0.000830409349873662,0.024947667494416237,,64,1
20251031_170540,avg_포인트2_통합_6_8_10_기상병합,46,0.00013482087282075858,0.003383075585588813,0.009919503703713417,,64,1
20251031_170605,avg_포인트3_통합_6_8_10_기상병합,17,0.05194869256320089,0.008381200954318047,0.01674756407737732,,64,1
20251031_170626,avg_포인트4_통합_6_8_10_기상병합,2,0.12419730176528294,0.0013304637977853417,0.08210589736700058,,64,1
20251031_170701,avg_포인트5_통합_6_8_10_기상병합,2,0.12585438950918615,0.002035630401223898,0.005956281907856464,,64,1
20251031_173654,avg_포인트1_통합_8_10(정제)_기상병합,41,0.00439612476232772,0.0012600364862009883,0.09049949049949646,,64,3
20251031_173714,avg_포인트1_통합_6_8_10_기상병합,13,0.06817642226815224,0.000943139661103487,0.04684687778353691,,64,3
20251031_173758,avg_포인트2_통합_6_8_10_기상병합,67,2.1189490022758644e-05,0.001402292400598526,0.013561040163040161,,64,3
20251031_173837,avg_포인트3_통합_6_8_10_기상병합,259,0.07527549949008971,0.0020738320890814066,0.014592478051781654,,64,3
20251031_173914,avg_포인트4_통합_6_8_10_기상병합,230,0.00014772021071015237,0.00035934150218963623,0.10354466736316681,,64,3
20251031_173931,avg_포인트5_통합_6_8_10_기상병합,296,0.001898468894069083,0.001974718878045678,0.007038851734250784,,64,3
20251031_174601,fst_포인트1_통합_8_10(정제)_기상병합,13,0.011611814300219217,0.0005341686774045229,0.04678533598780632,,64,1
20251031_174649,fst_포인트1_통합_6_8_10_기상병합,10,0.06773079000413418,0.0025734042283147573,0.022645728662610054,,64,1
20251031_174658,fst_포인트2_통합_6_8_10_기상병합,256,9.952892469300423e-06,0.002327366266399622,0.004116132855415344,,64,1
20251031_174717,fst_포인트3_통합_6_8_10_기상병합,9,0.06106656863994431,0.001712340977974236,0.022522132843732834,,64,1
20251031_174744,fst_포인트4_통합_6_8_10_기상병합,1,0.12464733670155208,0.007657622918486595,0.008479651995003223,,64,1
20251031_174812,fst_포인트5_통합_6_8_10_기상병합,11,0.15514065977185965,0.011315050534904003,0.036532919853925705,,64,1
20251031_174902,fst_포인트1_통합_8_10(정제)_기상병합,16,0.008997403706113497,0.0016673023346811533,0.1524372100830078,,64,2
20251031_174929,fst_포인트1_통합_6_8_10_기상병합,96,0.0018713423050940037,0.0005094897351227701,0.05203632637858391,,64,2
20251031_174938,fst_포인트2_통합_6_8_10_기상병합,111,2.2217978463838033e-05,0.0007001333869993687,0.003606316866353154,,64,2
20251031_175027,fst_포인트3_통합_6_8_10_기상병합,1,0.1216336035868153,0.0017690862296149135,0.011664537712931633,,64,2
20251031_175105,fst_포인트4_통합_6_8_10_기상병합,290,1.3506437426258344e-05,0.007304210215806961,0.016985267400741577,,64,2
20251031_175136,fst_포인트5_통합_6_8_10_기상병합,2,0.1251873486326076,0.0051567391492426395,0.0036011887714266777,,64,2
20251031_175256,fst_포인트1_통합_8_10(정제)_기상병합,29,0.006121552626912792,0.004819971043616533,0.07037076354026794,,64,3
20251031_175340,fst_포인트1_통합_6_8_10_기상병합,16,0.05215172190219164,0.0023612258955836296,0.3140091300010681,,64,3
20251031_175356,fst_포인트2_통합_6_8_10_기상병합,290,1.008473403392903e-05,0.0006244360702112317,0.010919616557657719,,64,3
20251031_175430,fst_포인트3_통합_6_8_10_기상병합,296,0.0019100350182270631,0.0004677243123296648,0.007398537825793028,,64,3
20251031_175506,fst_포인트4_통합_6_8_10_기상병합,210,0.0007381613540928811,0.003976899199187756,0.014894731342792511,,64,3
20251031_175519,fst_포인트5_통합_6_8_10_기상병합,273,0.0003278832409705501,0.005167412105947733,0.008917582221329212,,64,3
